ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ABCB,MUFG,2022-03-31,0.765,2.977,0.062,2.592,4.87,0.035,1.936,0.061,1.204,0.066,1.061,2017-04-17,banks
ABCB,PFBC,2022-03-31,0.824,2.934,1.167,6.371,4.87,0.036,2.114,0.063,1.526,0.011,2.694,2017-04-17,banks
ABCB,SASR,2022-03-31,0.765,2.523,0.815,3.152,4.87,0.059,0.581,0.048,0.915,0.035,1.347,2017-04-17,banks
ABCB,SBCF,2022-03-31,0.725,2.515,0.576,5.547,4.87,0.016,1.927,0.028,1.494,-0.007,2.782,2017-04-17,banks
ABCB,SNV,2022-03-31,0.863,3.659,0.961,-2.925,4.87,0.066,1.43,0.09,0.648,0.103,0.211,2017-04-17,banks
ABCB,VBTX,2022-03-31,0.686,2.472,0.729,-1.614,4.87,0.058,1.178,0.064,1.039,0.084,0.58,2017-04-17,banks
ABCB,ZION,2022-03-31,0.686,2.977,1.056,4.404,4.87,0.068,1.43,0.092,0.869,0.096,0.788,2017-04-17,banks
AGM,BNS,2022-03-31,0.529,2.162,0.466,13.093,4.87,0.039,0.747,0.014,1.637,0.063,-0.121,2017-04-17,banks
AGM,RY,2022-03-31,0.824,2.047,0.706,22.565,4.87,0.024,1.156,0.011,1.629,0.027,1.025,2017-04-17,banks
AGM,TD,2022-03-31,0.706,2.678,0.528,12.223,4.87,0.026,1.629,0.007,2.383,0.054,0.515,2017-04-17,banks
ASB,CMA,2022-03-31,0.529,2.116,4.751,-25.905,4.87,-0.022,3.219,-0.001,2.146,-0.02,3.085,2017-04-17,banks
ASB,CVBF,2022-03-31,0.961,2.004,0.424,11.582,4.87,-0.041,3.554,-0.074,4.787,-0.123,6.637,2017-04-17,banks
ASB,ING,2022-03-31,0.667,-2.758,0.631,-1.749,4.87,0.051,-1.546,0.113,-0.068,0.117,0.023,2017-04-17,banks
ASB,SMFG,2022-03-31,0.608,-3.137,0.164,3.65,4.87,0.01,-2.836,0.015,-2.706,0.038,-2.014,2017-04-17,banks
ASB,TSC,2022-03-31,0.784,2.68,1.423,-4.604,4.87,-0.015,3.144,-0.004,2.797,-0.047,4.121,2017-04-17,banks
AUB,C,2022-03-31,0.941,-2.6,1.419,14.867,4.87,-0.01,-2.796,0.03,-2.01,-0.032,-3.236,2017-04-17,banks
AUB,CVBF,2022-03-31,0.922,2.72,0.251,11.269,4.87,-0.024,3.591,-0.068,5.132,-0.086,5.786,2017-04-17,banks
AUB,FHN,2022-03-31,0.647,5.52,0.527,-2.932,4.87,-0.004,5.662,-0.01,5.851,0.013,5.09,2017-04-17,banks
AVAL,CVBF,2022-03-31,0.667,2.421,0.476,16.633,4.87,-0.018,2.678,-0.06,3.289,-0.107,3.96,2017-04-17,banks
AX,CVBF,2022-03-31,0.863,2.11,0.11,15.268,4.87,-0.039,3.055,-0.086,4.163,-0.122,5.04,2017-04-17,banks
AX,EWBC,2022-03-31,0.569,2.408,1.483,0.459,4.87,-0.044,4.078,-0.03,3.564,-0.016,3.022,2017-04-17,banks
AX,RF,2022-03-31,0.745,2.065,0.359,3.102,4.87,-0.043,3.537,-0.056,3.99,-0.017,2.642,2017-04-17,banks
AX,UMBF,2022-03-31,0.784,2.169,1.548,16.732,4.87,-0.035,3.731,-0.038,3.845,-0.037,3.826,2017-04-17,banks
AX,WD,2022-03-31,0.529,2.505,2.599,-13.897,4.87,-0.048,3.852,0.012,2.164,0.015,2.071,2017-04-17,banks
BANC,BCS,2022-03-31,1.0,-3.031,0.516,0.042,4.87,0.011,-2.738,0.053,-1.655,0.022,-2.453,2017-04-17,banks
BANC,ONB,2022-03-31,0.51,-2.126,0.52,7.915,4.87,-0.022,-2.847,-0.004,-2.278,-0.018,-2.725,2017-04-17,banks
BANF,FIBK,2022-03-31,0.882,-3.578,0.374,15.815,4.87,-0.038,-4.452,-0.022,-4.092,-0.051,-4.755,2017-04-17,banks
