ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,residual_quantile,betas_rsquared,arima_forecast,corr_smb,corr_hml,corr_rmw,corr_cma,corr_vix,corr_oil,corr_sp500,corr_usd,corr_yield,corr_copper,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
ACH,GSM,2022-06-03,0.647,3.512,0.63,-3.135,3.692,3.623,0.473,0.66,0.013,-0.026,-0.074,0.008,0.01,0.004,-0.036,-0.003,0.008,0.009,0.078,2.495,0.032,3.089,-0.012,3.664,2017-06-19,metals_and_mining
ACH,MT,2022-06-03,0.725,2.6,1.949,2.103,3.692,3.623,0.326,0.48,0.014,-0.044,-0.069,-0.036,-0.016,0.006,0.007,-0.03,-0.03,0.019,0.15,0.308,0.079,1.387,0.118,0.789,2017-06-19,metals_and_mining
AG,RS,2022-06-03,0.549,2.874,6.008,58.376,3.692,3.623,0.916,2.54,-0.022,-0.003,0.013,0.001,0.032,-0.016,-0.031,0.006,0.031,-0.033,0.048,2.457,0.012,2.767,0.002,2.858,2017-06-19,metals_and_mining
AGI,KGC,2022-06-03,0.765,-2.985,0.91,-0.801,3.692,3.623,0.441,-1.278,0.031,-0.06,-0.039,-0.016,0.058,-0.017,-0.03,-0.009,-0.051,0.003,-0.027,-3.468,-0.078,-4.386,-0.04,-3.697,2017-06-19,metals_and_mining
AU,SSRM,2022-06-03,0.922,2.92,0.514,6.727,3.692,3.623,0.927,0.894,0.044,0.019,-0.052,0.002,-0.011,0.023,0.007,-0.024,-0.013,0.056,0.109,1.09,0.119,0.926,0.175,-0.004,2017-06-19,metals_and_mining
AUY,GOLD,2022-06-03,0.922,-3.19,3.521,5.404,3.692,3.623,0.067,-1.379,0.024,-0.024,-0.032,-0.014,-0.027,-0.02,0.005,0.047,0.06,-0.036,0.024,-2.531,-0.06,-4.836,-0.036,-4.17,2017-06-19,metals_and_mining
AUY,HMY,2022-06-03,0.941,-2.98,0.879,0.072,3.692,3.623,0.715,-0.683,-0.055,-0.023,0.019,-0.025,0.021,-0.028,0.001,0.066,-0.011,-0.023,0.091,-1.429,0.036,-2.371,0.001,-2.958,2017-06-19,metals_and_mining
AUY,KGC,2022-06-03,0.784,-3.627,1.178,0.858,3.692,3.623,0.813,-0.804,-0.039,0.012,0.017,0.03,0.008,0.038,-0.044,-0.001,0.056,-0.0,0.024,-3.296,-0.022,-3.924,0.016,-3.411,2017-06-19,metals_and_mining
BHP,CMP,2022-06-03,0.784,-3.62,0.522,31.379,3.692,3.623,0.197,-1.324,0.029,-0.001,-0.002,0.002,0.004,0.001,-0.007,0.019,0.018,-0.011,-0.062,-4.432,0.001,-3.602,0.045,-3.037,2017-06-19,metals_and_mining
CENX,GGB,2022-06-03,0.98,3.046,0.173,1.907,3.692,3.623,0.294,1.4,-0.04,-0.086,-0.054,-0.07,-0.057,0.004,0.075,-0.054,-0.016,0.006,0.143,1.316,0.094,1.909,0.074,2.148,2017-06-19,metals_and_mining
CLF,CMP,2022-06-03,0.824,-2.778,0.698,45.888,3.692,3.623,0.564,-0.683,0.068,0.034,-0.002,0.012,-0.03,0.056,0.029,0.023,0.088,0.035,-0.118,-3.91,-0.061,-3.361,-0.016,-2.933,2017-06-19,metals_and_mining
CMC,CMP,2022-06-03,0.765,-2.863,0.568,41.474,3.692,3.623,0.041,-1.166,0.076,0.042,0.011,-0.001,0.0,0.054,0.087,-0.078,0.088,0.078,-0.129,-4.126,-0.107,-3.907,-0.073,-3.573,2017-06-19,metals_and_mining
CMP,GGB,2022-06-03,0.706,3.939,0.094,-1.425,3.692,3.623,0.006,2.891,0.01,0.0,0.016,0.002,0.004,0.016,-0.016,-0.003,0.022,0.023,0.091,2.838,0.089,2.858,0.094,2.792,2017-06-19,metals_and_mining
GGB,WOR,2022-06-03,0.569,-2.674,8.722,13.062,3.692,3.623,0.465,-1.4,0.008,0.019,-0.009,-0.004,0.002,-0.003,-0.011,-0.027,-0.024,0.035,0.157,-0.529,0.18,-0.211,0.154,-0.57,2017-06-19,metals_and_mining
PKX,VALE,2022-06-03,0.667,2.609,0.251,-1.372,3.692,3.623,0.015,1.283,0.031,0.085,0.024,0.009,-0.05,-0.024,0.12,-0.04,-0.071,0.082,0.039,1.908,0.074,1.282,0.075,1.268,2017-06-19,metals_and_mining
SCHN,STLD,2022-06-03,0.667,3.532,1.243,5.064,3.692,3.623,0.722,3.532,0.053,0.034,0.004,0.016,-0.024,0.033,0.029,-0.084,-0.025,0.018,0.038,2.86,-0.019,3.87,-0.046,4.354,2017-06-19,metals_and_mining
