ticker,subindustry,market_cap
HRTX,pharmaceuticals_biotechnology_and_life_sciences,558.7
HSAQ,diversified_financials,203.1
HSDT,health_care_equipment_and_services,11.0
HSKA,health_care_equipment_and_services,1478.6
HSTO,pharmaceuticals_biotechnology_and_life_sciences,11.1
HTCR,software_and_services,41.8
HTGM,health_care_equipment_and_services,12.4
HUDI,metals_and_mining,324.2
HUGE,pharmaceuticals_biotechnology_and_life_sciences,41.8
HUSN,diversified_financials,86.5
HVBC,banks,44.7
HYAC,diversified_financials,393.3
HYMC,metals_and_mining,342.4
HYRE,transportation,37.0
ICAD,health_care_equipment_and_services,83.3
ICCC,pharmaceuticals_biotechnology_and_life_sciences,66.8
ICCH,insurance,56.2
ICCM,health_care_equipment_and_services,88.4
IDAI,software_and_services,51.3
IDBA,technology_hardware_and_equipment,181.3
IDEX,capital_goods,416.2
IDRA,pharmaceuticals_biotechnology_and_life_sciences,25.7
IEA,capital_goods,573.9
IFBD,software_and_services,18.1
IGIC,insurance,378.8
IINN,health_care_equipment_and_services,25.6
IKT,pharmaceuticals_biotechnology_and_life_sciences,29.0
IMAC,health_care_equipment_and_services,22.3
IMCC,pharmaceuticals_biotechnology_and_life_sciences,120.3
IMMX,pharmaceuticals_biotechnology_and_life_sciences,23.6
IMNM,pharmaceuticals_biotechnology_and_life_sciences,55.4
IMPP,energy,87.4
IMRN,pharmaceuticals_biotechnology_and_life_sciences,19.3
IMTE,technology_hardware_and_equipment,41.0
IMTX,pharmaceuticals_biotechnology_and_life_sciences,527.3
IMV,pharmaceuticals_biotechnology_and_life_sciences,107.4
IMXI,software_and_services,787.1
INDI,semiconductors_and_semiconductor_equipment,791.5
INDP,pharmaceuticals_biotechnology_and_life_sciences,27.7
INKT,pharmaceuticals_biotechnology_and_life_sciences,78.9
INM,pharmaceuticals_biotechnology_and_life_sciences,13.9
INMB,pharmaceuticals_biotechnology_and_life_sciences,137.7
INPX,software_and_services,38.1
INSE,consumer_services,282.8
INTG,real_estate,114.4
INTZ,software_and_services,40.2
INVE,technology_hardware_and_equipment,285.9
INVO,health_care_equipment_and_services,20.3
INVZ,technology_hardware_and_equipment,449.7
IONM,health_care_equipment_and_services,64.3
IPAX,diversified_financials,399.0
IPDN,media_and_entertainment,16.3
IPW,retailing,48.2
IPWR,capital_goods,48.7
IRMD,health_care_equipment_and_services,551.6
IROQ,banks,72.3
ISIG,media_and_entertainment,17.3
ISPC,health_care_equipment_and_services,32.9
ISUN,capital_goods,50.9
ITHX,diversified_financials,303.7
ITI,technology_hardware_and_equipment,117.9
ITQ,diversified_financials,282.6
ITRM,pharmaceuticals_biotechnology_and_life_sciences,53.9
IVDA,software_and_services,29.4
IZEA,media_and_entertainment,79.5
JAGX,pharmaceuticals_biotechnology_and_life_sciences,44.3
JAN,commercial_and_professional_services,8.02
JCIC,diversified_financials,423.9
JRSH,consumer_durables_and_apparel,73.6
