ticker_x,ticker_y,trade_date,adf_pass_rate,last_residual,beta,intercept,residual_mean_max,betas_rsquared,arima_forecast,return_one_month,residual_one_month,return_two_month,residual_two_month,return_three_month,residual_three_month,data_window_start,subindustry
NDAQ,TQQQ,2022-04-13,0.51,-2.852,0.554,-36.14,4.76,0.22627467,-0.19358426,-0.0,-2.861,-0.052,-4.499,-0.07,-5.054,2017-04-28,diversified_financials
NEA,VOYA,2022-04-13,0.627,2.716,5.577,-17.627,4.76,0.022769969,1.081367,0.003,2.639,0.011,2.452,0.062,1.269,2017-04-28,diversified_financials
NFJ,PFF,2022-04-13,0.725,-3.07,1.166,22.036,4.76,0.002629066,-0.4729577,0.005,-2.81,-0.004,-3.289,0.004,-2.886,2017-04-28,diversified_financials
NFJ,TSLX,2022-04-13,0.549,2.631,1.708,-3.27,4.76,0.3817355,0.84104615,-0.025,3.768,0.002,2.564,0.03,1.267,2017-04-28,diversified_financials
NLY,NMFC,2022-04-13,0.529,3.304,1.851,-1.953,4.76,0.063015334,2.6214542,0.035,2.374,0.007,3.117,0.014,2.914,2017-04-28,diversified_financials
NLY,RC,2022-04-13,0.745,3.144,2.562,-6.148,4.76,0.037585326,2.099993,0.02,2.66,0.036,2.273,0.042,2.112,2017-04-28,diversified_financials
NMFC,VNQI,2022-04-13,0.51,-2.569,1.954,30.179,4.76,0.5895926,-0.76989335,-0.035,-3.97,-0.055,-4.766,-0.078,-5.727,2017-04-28,diversified_financials
NMZ,NVG,2022-04-13,1.0,-2.712,1.184,0.122,4.76,0.84535795,-0.20975395,0.004,-2.295,0.002,-2.483,0.008,-1.899,2017-04-28,diversified_financials
NMZ,TSLX,2022-04-13,0.529,4.858,2.825,-19.362,4.76,0.05493473,4.476759,0.015,4.367,0.037,3.619,0.067,2.587,2017-04-28,diversified_financials
NMZ,UTF,2022-04-13,0.863,5.637,2.701,-11.686,4.76,0.25911084,2.4323156,0.028,4.325,0.019,4.715,0.045,3.51,2017-04-28,diversified_financials
NMZ,VOYA,2022-04-13,0.863,3.475,6.289,-23.949,4.76,0.086064726,0.5805656,0.013,3.038,0.015,2.998,0.057,1.615,2017-04-28,diversified_financials
NNI,PFF,2022-04-13,0.922,-2.62,0.164,24.795,4.76,0.006599912,-0.38842568,-0.026,-3.536,-0.038,-3.959,-0.053,-4.496,2017-04-28,diversified_financials
NUV,QYLD,2022-04-13,0.549,3.252,1.946,-1.488,4.76,0.08147582,2.4531891,0.03,2.245,0.045,1.742,0.046,1.702,2017-04-28,diversified_financials
